fiscal_year,base_year,state,constant_prices,current_prices,unit
2017-18,2011-12,Ladakh,,,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Madhya Pradesh,46051606.00,68345569.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Maharashtra,166820507.00,206443186.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Manipur,1815524.00,2503973.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Meghalaya,2092266.00,2741162.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Mizoram,1418047.00,1880802.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Nagaland,1590788.00,2375974.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Odisha,32735286.00,39087730.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Puducherry,1944222.00,2798925.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Punjab,34468624.00,42701037.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Rajasthan,59000780.00,78771538.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Sikkim,1632631.00,2399135.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Tamil Nadu,101449075.00,133053677.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Telangana,50074176.00,68017728.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Tripura,3194234.00,4235268.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Uttar Pradesh,102280730.00,136012506.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Uttarakhand,16710349.00,20036748.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,West Bengal,67605026.00,91360841.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Andaman and Nicobar Islands,570639.00,679363.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Andhra Pradesh,48772677.00,62450287.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Arunachal Pradesh,1404916.00,1905808.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Assam,18712296.00,23731541.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Bihar,30694015.00,40845667.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Chandigarh,2654124.00,3179513.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Chhattisgarh,19465835.00,24154594.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Delhi,43798981.00,53117539.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Goa,4690872.00,5681827.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Gujarat,86629820.00,103915555.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Haryana,40361094.00,49144788.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Himachal Pradesh,9831733.00,11749465.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Jammu and Kashmir,9467181.00,11820042.00,"constant_prices, current_prices in rupees lakh"
2016-17,2011-12,Jharkhand,17262033.00,21187113.00,"constant_prices, current_prices in rupees lakh"
