fiscal_year,state,category,percentage,unit
2021-22,Punjab,General,4.80,
2021-22,Rajasthan,General,4.90,
2021-22,Sikkim,General,7.30,
2021-22,Tamil Nadu,General,5.70,
2021-22,Telangana,General,7.10,
2021-22,Tripura,General,3.80,
2021-22,Uttar Pradesh,General,5.80,
2021-22,Uttarakhand,General,5.60,
2021-22,West Bengal,General,5.80,
2021-22,ALL INDIA,General,5.50,
2021-22,Andaman and Nicobar Islands,Food and Beverages,4.40,
2021-22,Andhra Pradesh,Food and Beverages,4.20,
2021-22,Assam,Food and Beverages,2.10,
2021-22,Bihar,Food and Beverages,3.70,
2021-22,Chandigarh,Food and Beverages,5.20,
2021-22,Chhattisgarh,Food and Beverages,3.50,
2021-22,Dadra and Nagar Haveli,Food and Beverages,4.60,
2021-22,Daman and Diu,Food and Beverages,4.10,
2021-22,Delhi,Food and Beverages,7.20,
2021-22,Goa,Food and Beverages,2.60,
2021-22,Gujarat,Food and Beverages,4.70,
2021-22,Haryana,Food and Beverages,6.40,
2021-22,Himachal Pradesh,Food and Beverages,6.60,
2021-22,Jammu and Kashmir,Food and Beverages,6.20,
2021-22,Jharkhand,Food and Beverages,3.10,
2021-22,Karnataka,Food and Beverages,5.20,
2021-22,Kerala,Food and Beverages,2.20,
2021-22,Lakshadweep,Food and Beverages,-0.10,
2021-22,Madhya Pradesh,Food and Beverages,4.70,
2021-22,Maharashtra,Food and Beverages,4.50,
2021-22,Manipur,Food and Beverages,-2.10,
2021-22,Meghalaya,Food and Beverages,4.70,
2021-22,Mizoram,Food and Beverages,4.20,
2021-22,Nagaland,Food and Beverages,4.00,
2021-22,Odisha,Food and Beverages,1.00,
2021-22,Puducherry,Food and Beverages,4.80,
2021-22,Punjab,Food and Beverages,5.60,
2021-22,Rajasthan,Food and Beverages,4.40,
2021-22,Sikkim,Food and Beverages,5.20,
2021-22,Tamil Nadu,Food and Beverages,3.80,
2021-22,Telangana,Food and Beverages,5.40,
2021-22,Tripura,Food and Beverages,2.70,
2021-22,Uttar Pradesh,Food and Beverages,4.60,
2021-22,Uttarakhand,Food and Beverages,5.50,
