fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2025-26,2026,February,Ladakh,GST collected from State,SGST,12.49,amount in rupees crores,
2025-26,2026,February,Other Territory,GST collected from State,SGST,40.6,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,February,OIDAR,GST collected from State,SGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,February,Jammu and Kashmir,GST collected from State,IGST,91.63,amount in rupees crores,
2025-26,2026,February,Himachal Pradesh,GST collected from State,IGST,283.52,amount in rupees crores,
2025-26,2026,February,Punjab,GST collected from State,IGST,942.63,amount in rupees crores,
2025-26,2026,February,Chandigarh,GST collected from State,IGST,110.77,amount in rupees crores,
2025-26,2026,February,Uttarakhand,GST collected from State,IGST,620.78,amount in rupees crores,
2025-26,2026,February,Haryana,GST collected from State,IGST,7206.44,amount in rupees crores,
2025-26,2026,February,Delhi,GST collected from State,IGST,3325.71,amount in rupees crores,
2025-26,2026,February,Rajasthan,GST collected from State,IGST,1507.97,amount in rupees crores,
2025-26,2026,February,Uttar Pradesh,GST collected from State,IGST,2804.39,amount in rupees crores,
2025-26,2026,February,Bihar,GST collected from State,IGST,205.8,amount in rupees crores,
2025-26,2026,February,Sikkim,GST collected from State,IGST,89.44,amount in rupees crores,
2025-26,2026,February,Arunachal Pradesh,GST collected from State,IGST,13.97,amount in rupees crores,
2025-26,2026,February,Nagaland,GST collected from State,IGST,14.5,amount in rupees crores,
2025-26,2026,February,Manipur,GST collected from State,IGST,13.23,amount in rupees crores,
2025-26,2026,February,Mizoram,GST collected from State,IGST,5.51,amount in rupees crores,
2025-26,2026,February,Tripura,GST collected from State,IGST,13.76,amount in rupees crores,
2025-26,2026,February,Meghalaya,GST collected from State,IGST,74.36,amount in rupees crores,
2025-26,2026,February,Assam,GST collected from State,IGST,302.13,amount in rupees crores,
2025-26,2026,February,West Bengal,GST collected from State,IGST,1388.05,amount in rupees crores,
2025-26,2026,February,Jharkhand,GST collected from State,IGST,959.26,amount in rupees crores,
2025-26,2026,February,Odisha,GST collected from State,IGST,1260.84,amount in rupees crores,
2025-26,2026,February,Chhattisgarh,GST collected from State,IGST,1198.31,amount in rupees crores,
2025-26,2026,February,Madhya Pradesh,GST collected from State,IGST,954.22,amount in rupees crores,
2025-26,2026,February,Gujarat,GST collected from State,IGST,3694.68,amount in rupees crores,
2025-26,2026,February,Daman and Diu,GST collected from State,IGST,0.02,amount in rupees crores,
2025-26,2026,February,Dadra and Nagar Haveli,GST collected from State,IGST,223.53,amount in rupees crores,
2025-26,2026,February,Maharashtra,GST collected from State,IGST,10097.31,amount in rupees crores,
2025-26,2026,February,Karnataka,GST collected from State,IGST,6169.27,amount in rupees crores,
2025-26,2026,February,Goa,GST collected from State,IGST,132.75,amount in rupees crores,
2025-26,2026,February,Lakshadweep,GST collected from State,IGST,0.11,amount in rupees crores,
2025-26,2026,February,Kerala,GST collected from State,IGST,561.89,amount in rupees crores,
2025-26,2026,February,Tamil Nadu,GST collected from State,IGST,4335.35,amount in rupees crores,
2025-26,2026,February,Puducherry,GST collected from State,IGST,114.01,amount in rupees crores,
2025-26,2026,February,Andaman and Nicobar Islands,GST collected from State,IGST,8.48,amount in rupees crores,
2025-26,2026,February,Telangana,GST collected from State,IGST,1699.7,amount in rupees crores,
2025-26,2026,February,Andhra Pradesh,GST collected from State,IGST,1328.5,amount in rupees crores,
2025-26,2026,February,Ladakh,GST collected from State,IGST,3.49,amount in rupees crores,
2025-26,2026,February,Other Territory,GST collected from State,IGST,176.75,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,February,OIDAR,GST collected from State,IGST,466.31,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,February,All India,GST collected from State,CGST,37472.48,amount in rupees crores,
2025-26,2026,February,All India,GST collected from State,IGST,52399.37,amount in rupees crores,
2025-26,2026,February,All India,GST collected from State,SGST,45900.41,amount in rupees crores,
2025-26,2026,February,All India,GST collected from State,Total Tax Collection,135772.26,amount in rupees crores,
2025-26,2026,February,Andaman and Nicobar Islands,GST collected from State,Total Tax Collection,54.36,amount in rupees crores,
2025-26,2026,February,Andhra Pradesh,GST collected from State,Total Tax Collection,3563.0,amount in rupees crores,
2025-26,2026,February,Arunachal Pradesh,GST collected from State,Total Tax Collection,117.86,amount in rupees crores,
2025-26,2026,February,Assam,GST collected from State,Total Tax Collection,1282.69,amount in rupees crores,
2025-26,2026,February,Bihar,GST collected from State,Total Tax Collection,1587.21,amount in rupees crores,
2025-26,2026,February,Chandigarh,GST collected from State,Total Tax Collection,231.22000000000003,amount in rupees crores,
2025-26,2026,February,Chhattisgarh,GST collected from State,Total Tax Collection,2857.38,amount in rupees crores,
2025-26,2026,February,Dadra and Nagar Haveli,GST collected from State,Total Tax Collection,347.6,amount in rupees crores,
2025-26,2026,February,Daman and Diu,GST collected from State,Total Tax Collection,0.02,amount in rupees crores,
2025-26,2026,February,Delhi,GST collected from State,Total Tax Collection,6151.39,amount in rupees crores,
2025-26,2026,February,Goa,GST collected from State,Total Tax Collection,589.81,amount in rupees crores,
2025-26,2026,February,Gujarat,GST collected from State,Total Tax Collection,11700.93,amount in rupees crores,
2025-26,2026,February,Haryana,GST collected from State,Total Tax Collection,10700.14,amount in rupees crores,
2025-26,2026,February,Himachal Pradesh,GST collected from State,Total Tax Collection,644.8299999999999,amount in rupees crores,
2025-26,2026,February,Jammu and Kashmir,GST collected from State,Total Tax Collection,520.22,amount in rupees crores,
2025-26,2026,February,Jharkhand,GST collected from State,Total Tax Collection,2337.65,amount in rupees crores,
2025-26,2026,February,Karnataka,GST collected from State,Total Tax Collection,14014.510000000002,amount in rupees crores,
2025-26,2026,February,Kerala,GST collected from State,Total Tax Collection,3220.08,amount in rupees crores,
2025-26,2026,February,Ladakh,GST collected from State,Total Tax Collection,26.1,amount in rupees crores,
2025-26,2026,February,Lakshadweep,GST collected from State,Total Tax Collection,0.98,amount in rupees crores,
2025-26,2026,February,Madhya Pradesh,GST collected from State,Total Tax Collection,3114.59,amount in rupees crores,
2025-26,2026,February,Maharashtra,GST collected from State,Total Tax Collection,29350.79,amount in rupees crores,
2025-26,2026,February,Manipur,GST collected from State,Total Tax Collection,62.06,amount in rupees crores,
